depth         color          imu
33369  43923  16228
66739  77261  53095
100108  110599  81853
133477  143937  118729
166846  177275  147515
200216  210613  180022
233585  243951  216875
266954  277289  245647
333693  343966  319354
367062  377304  348114
400431  410642  384965
433800  443980  417576
467170  477318  446343
500539  510656  483155
533908  543994  511829
567277  577333  548707
600647  610671  585592
634016  644009  614345
667385  677347  651185
700754  710685  679944
767493  777361  749392
800862  810699  786183
834231  844038  814970
867601  877376  851859
900970  910714  880589
934339  944052  913223
967708  977390  950015
1001078  1010728  986874
1034447  1044066  1015596
1067816  1077404  1052488
1101185  1110743  1081225
1134555  1144081  1118081
1167924  1177419  1146819
1201293  1210757  1179400
1268032  1277433  1216228
1301401  1310771  1281852
1334770  1344109  1318682
1368139  1377448  1347471
1401509  1410786  1384382
1434878  1444124  1416957
1468247  1477462  1445632
1501616  1510800  1482567
1534986  1544138  1519422
1568355  1577476  1548179
1601724  1610814  1585010
1635093  1644153  1621896
1668463  1677491  1650609
1701832  1710829  1683216
1735201  1744167  1720081
1768570  1777505  1748803
1801940  1810843  1785632
1868678  1877519  1814417
1902047  1910858  1883856
1935417  1944196  1920726
1968786  1977534  1949469
2002155  2010872  1986335
2035524  2044210  2015064
2068894  2077548  2051891
2102263  2110886  2080685
2135632  2144224  2117536
2169001  2177563  2150134
2202371  2210901  2186971
2235740  2244239  2223877
2269109  2277577  2252611
2302478  2310915  2289449
2369217  2377591  2318200
2402586  2410929  2387606
2435955  2444268  2416412
2469325  2477606  2453263
2502694  2510944  2490151
2536063  2544282  2518945
2569432  2577620  2551484
2602802  2610958  2588378
2636171  2644296  2617098
2669540  2677634  2653964
2702909  2710973  2682715
2736279  2744311  2719573
2769648  2777649  2752181
2836386  2844325  2789043
2869756  2877663  2854565
2903125  2911001  2883364
2936494  2944339  2920200
2969863  2977678  2948935
3003233  3011016  2985800
3036602  3044354  3022678
3069971  3077692  3055254
3103340  3111030  3083946
3136710  3144368  3120817
3170079  3177706  3149629
3203448  3211044  3186471
3236817  3244383  3223324
3303556  3311059  3284614
3336925  3344397  3321454
3370294  3377735  3350190
3403664  3411073  3387092
3437033  3444411  3423966
3470402  3477749  3452851
3503771  3511088  3489595
3537141  3544426  3522159
3570510  3577764  3550894
3603879  3611102  3587761
3637248  3644440  3624624
3670618  3677778  3653409
3703987  3711116  3682151
3737356  3744454  3722848
3770725  3777793  3751539
3804095  3811131  3781518
3837464  3844469  3817168
3870833  3877807  3854083
3937572  3944483  3882839
3970941  3977821  3952244
4004310  4011159  3989115
4037679  4044498  4017847
4071049  4077836  4054705
4104418  4111174  4083463
4137787  4144512  4120419
4171156  4177850  4152895
4204526  4211188  4189780
4237895  4244526  4218459
4271264  4277864  4255406
4304633  4311203  4284105
4338003  4344541  4320985
4371372  4377879  4349735
4404741  4411217  4382313
4471480  4477893  4419216
4504849  4511231  4484828
4538218  4544569  4521682
4571587  4577908  4550409
4604957  4611246  4582968
4638326  4644584  4619822
4671695  4677922  4648582
4705064  4711260  4685439
4738434  4744598  4722299
4771803  4777936  4751074
4805172  4811274  4787985
4838541  4844613  4824829
4871911  4877951  4853544
4905280  4911289  4886112
4938649  4944627  4922953
4972018  4977965  4951712
5005388  5011303  4988573
5038757  5044641  5017333
5072126  5077979  5049888
5138865  5144656  5086797
5172234  5177994  5152355
5205603  5211332  5189265
5238972  5244670  5218005
5272342  5278008  5254825
5305711  5311346  5283593
5339080  5344684  5320478
5372449  5378023  5352997
5405819  5411361  5389874
5439188  5444699  5418600
5472557  5478037  5455499
5505926  5511375  5484326
5539296  5544713  5516839
5572665  5578051  5553752
5606034  5611389  5582460
5639403  5644728  5619312
5706142  5711404  5684891
5739511  5744742  5721747
5772880  5778080  5750500
5806250  5811418  5791221
5839619  5844756  5819972
5872988  5878094  5856832
5906357  5911433  5885594
5939727  5944771  5922457
5973096  5978109  5951217
6006465  6011447  5983748
6039834  6044785  6020634
6073204  6078123  6057502
6106573  6111461  6086249
6139942  6144799  6123128
6173311  6178138  6160017
6240050  6244814  6221296
6273419  6278152  6258159
6306788  6311490  6286929
6340158  6344828  6323798
6373527  6378166  6352566
6406896  6411504  6385132
6440265  6444843  6422006
6473635  6478181  6458841
6507004  6511519  6487600
6540373  6544857  6524478
